pos_category,n_players,avg_o_rapm,avg_d_rapm,avg_total_rapm,std_o_rapm,std_d_rapm
big,156,-0.20794132897815173,0.26548093703178033,-0.47342226600993204,1.5956226796215909,1.5160088773268494
combo,99,0.13149162946618617,0.2506617792506139,-0.11917014978442773,1.732446490203594,1.4431556146422055
forward,63,0.01665980473727571,0.5272778514841062,-0.5106180467468304,1.58459113523711,1.7959889379669958
point,69,0.5339078205153484,0.2541560185882017,0.27975180192714655,1.958205483009349,1.2587719424834838
wing,188,-0.1955892012505776,0.5979151411230685,-0.7935043423736461,1.5088349215699917,1.313899622920743
