name,season,o_rapm,d_rapm,total_rapm,games,o_rapm_projected,d_rapm_projected,total_rapm_projected
Julius Randle,2024,1.51125735173796,0.6183612395922999,0.89289611214566,69,0.1477045812693117,0.3532948168203212,-0.2055902355510095
Moses Moody,2024,-0.7931520692983499,0.57409186856712,-1.36724393786547,74,-0.6065691241364617,0.7104949021977341,-1.317064026334196
Andre Jackson Jr.,2024,-1.08495080777506,2.896973393119,-3.98192420089406,63,-1.08495080777506,2.896973393119,-3.98192420089406
Orlando Robinson,2024,-0.1978303030387,0.68600066890859,-0.88383097194729,34,-0.1461083193959467,0.5742209951869507,-0.7203293145828974
Dario Saric,2024,0.57078634356797,2.24873363296484,-1.6779472893968697,15,0.888436831417099,0.6159685315989707,0.27246829981812826
Franz Wagner,2024,0.67725706074303,-2.7962215811726603,3.4734786419156904,60,1.0426358130872273,-1.8794173579641524,2.9220531710513797
Matisse Thybulle,2024,-2.09824582570285,-2.0589858311365403,-0.0392599945663096,15,-1.0860036152545518,-2.0040654143200287,0.9180617990654769
Andre Drummond,2024,0.65501553022003,-0.2443680536668299,0.89938358388686,40,0.0266894685685521,0.2963664354866545,-0.2696769669181024
Evan Mobley,2024,-2.79603142770386,-1.92261094959018,-0.8734204781136801,71,-1.6508195245756505,-2.3795265228726667,0.7287069982970162
Keldon Johnson,2024,0.25050370589269,1.3550743490095198,-1.1045706431168298,77,-0.0936238753238488,1.262165550673061,-1.3557894259969097
Santi Aldama,2024,-1.5193875352456598,2.10141109426201,-3.6207986295076697,65,-1.2339204554535872,1.1449351542397035,-2.3788556096932907
Jordan Miller,2024,-0.7415075140076199,0.9845674468024,-1.72607496081002,32,-0.7415075140076199,0.9845674468024,-1.72607496081002
Peyton Watson,2024,-1.4789949263765,0.18013553617694,-1.6591304625534398,68,-1.2270587034014322,0.3527412008025424,-1.5797999042039745
Pascal Siakam,2024,3.0824633802297297,0.47934275567254,2.6031206245571896,78,2.761391208532046,-0.3017347000644486,3.0631259085964944
De'Aaron Fox,2024,2.39599007632306,0.90402695697173,1.4919631193513303,17,1.751872696600033,2.063792105438599,-0.31191940883856595
De'Aaron Fox,2024,2.39599007632306,0.90402695697173,1.4919631193513303,17,1.751872696600033,2.063792105438599,-0.31191940883856595
De'Aaron Fox,2024,2.39599007632306,0.90402695697173,1.4919631193513303,45,1.751872696600033,2.063792105438599,-0.31191940883856595
De'Aaron Fox,2024,2.39599007632306,0.90402695697173,1.4919631193513303,45,1.751872696600033,2.063792105438599,-0.31191940883856595
Mark Williams,2024,-0.30721225825672,-0.1111195164900999,-0.19609274176662,44,-0.5055429494910441,-0.1206083220910775,-0.38493462739996653
Collin Sexton,2024,1.89139113216553,3.23724720328407,-1.34585607111854,63,-0.3668924865449962,3.6844294777068343,-4.05132196425183
Isaac Okoro,2024,-0.02156870398288,0.6714765367615899,-0.6930452407444699,55,-0.4880536207562457,1.42095989975191,-1.9090135205081555
Isaiah Joe,2024,1.7278634313548602,0.47966794538547,1.2481954859693902,74,1.1460644373774949,0.7516710159185509,0.39439342145894396
Bilal Coulibaly,2024,-3.4533300607874,2.71516495529665,-6.16849501608405,59,-3.4533300607874,2.71516495529665,-6.16849501608405
Quenton Jackson,2024,-1.16271086119893,0.51068751930344,-1.6733983805023702,24,-1.16271086119893,0.51068751930344,-1.6733983805023702
Jaden Hardy,2024,-1.9598918103306,3.08051596236721,-5.04040777269781,57,-1.0342034315148656,3.0455184894504845,-4.07972192096535
Klay Thompson,2024,0.2552614422382,2.5157716085809,-2.2605101663427,72,0.6230884315473691,1.331269821131352,-0.7081813895839829
Mitchell Robinson,2024,1.91953511236842,0.23891432551302,1.6806207868554002,17,0.3820045485271582,-0.2016283729907812,0.5836329215179394
Dru Smith,2024,-2.17373101248815,0.5447343153508499,-2.718465327839,13,-1.887918528451064,0.4624648131886306,-2.3503833416396946
Zion Williamson,2024,1.11464251412257,-0.8239295959121601,1.93857211003473,30,1.9700431550057924,-0.2720223482184843,2.2420655032242767
Bruce Brown,2024,0.42382511356637,2.04839944226009,-1.6245743286937202,23,0.1577610615411458,1.0139026726914164,-0.8561416111502707
Bruce Brown,2024,0.42382511356637,2.04839944226009,-1.6245743286937202,23,0.1577610615411458,1.0139026726914164,-0.8561416111502707
Bruce Brown,2024,0.42382511356637,2.04839944226009,-1.6245743286937202,18,0.1577610615411458,1.0139026726914164,-0.8561416111502707
Bruce Brown,2024,0.42382511356637,2.04839944226009,-1.6245743286937202,18,0.1577610615411458,1.0139026726914164,-0.8561416111502707
Jae'Sean Tate,2024,-2.5912748553433103,-2.0234990623785,-0.5677757929648104,40,-1.686608858903635,-0.4727300046329132,-1.2138788542707217
Karl-Anthony Towns,2024,1.94635180076568,-0.10206876592387,2.04842056668955,72,2.8623199002272544,0.4814969127071165,2.380822987520138
