player_name,base_year,predicted,actual,residual
LeBron James,2022,2.3177193938055796,2.7324220797575736,0.414702685951994
Carmelo Anthony,2022,-0.9506510757994105,0.1803348845346828,1.1309859603340933
Dwight Howard,2022,-1.73461948979017,-1.0869841038615966,0.6476353859285735
Andre Iguodala,2022,-0.5010719583987526,1.461440106111222,1.9625120645099747
Trevor Ariza,2022,-0.8987580454537357,-1.888933264078385,-0.9901752186246492
Chris Paul,2022,1.4995779000627238,1.6112994174423885,0.11172151737966463
Lou Williams,2022,-0.6648874311550759,0.146538840539287,0.8114262716943629
LaMarcus Aldridge,2022,0.475069992362978,0.2404866550580989,-0.23458333730487907
Rudy Gay,2022,1.9821716275326156,2.022724603695932,0.040552976163316545
Rajon Rondo,2022,-1.6880186554792052,-2.784669899658412,-1.0966512441792067
Kyle Lowry,2022,0.5960686669675263,0.4266053838436219,-0.16946328312390435
P.J. Tucker,2022,-1.170651794495462,-0.2852235476117237,0.8854282468837382
Paul Millsap,2022,-0.311087954410974,-1.600230397378667,-1.289142442967693
Kevin Durant,2022,3.2604258558333954,2.9303977189408426,-0.33002813689255284
Al Horford,2022,0.12250495891083994,0.912180329395306,0.7896753704844661
Mike Conley,2022,1.636879933397997,0.5693722103405388,-1.0675077230574583
Jeff Green,2022,-1.5647159478479846,-2.8784261914985185,-1.313710243650534
Thaddeus Young,2022,1.3320850031780065,-1.1769247008213917,-2.509009703999398
Derrick Rose,2022,0.771317524846056,-0.1970232008492054,-0.9683407256952614
Russell Westbrook,2022,-0.8276754610849141,-0.737301550157174,0.09037391092774005
Kevin Love,2022,0.2666189344930515,0.309496057773018,0.042877123279966456
Danilo Gallinari,2022,0.46874775238173155,-1.2037097802626937,-1.6724575326444253
Eric Gordon,2022,0.1808824173808301,-0.3903456486478558,-0.5712280660286859
D.J. Augustin,2022,-1.6751380484424356,-3.597086539645959,-1.9219484912035234
Brook Lopez,2022,0.05529822530682438,0.4590143713825238,0.40371614607569944
Robin Lopez,2022,-0.2875558056445521,-2.152966042208782,-1.8654102365642298
JaVale McGee,2022,-0.6641935674544628,-0.2071908235624719,0.4570027438919909
Serge Ibaka,2022,-1.8049866677028328,-0.95223055174753,0.8527561159553028
Nicolas Batum,2022,0.38933921043140657,0.9003630361493367,0.51102382571793
George Hill,2022,2.885161168260983,4.613402305872378,1.7282411376113949
DeAndre Jordan,2022,-2.51265988082971,-1.7858980640966409,0.7267618167330689
Goran Dragic,2022,-0.3226664976363433,-0.8308123557073372,-0.5081458580709939
Blake Griffin,2022,-0.7469776243102351,-0.7700262796902213,-0.023048655379986238
James Harden,2022,0.6846414112431474,0.6353090699380048,-0.049332341305142524
Ricky Rubio,2022,0.12340393295169594,1.5573440806058416,1.4339401476541456
Stephen Curry,2022,3.42544972545573,2.8374914578370154,-0.5879582676187147
DeMar DeRozan,2022,0.4814454463354967,1.0690927513062998,0.5876473049708031
James Johnson,2022,-1.1963675388745512,0.0408708167154876,1.2372383555900388
Jrue Holiday,2022,3.610586671141611,2.5029936226872023,-1.1075930484544085
Taj Gibson,2022,0.47961072779513186,0.725547282127895,0.24593655433276312
Wayne Ellington,2022,-0.5235782428485226,-1.2237012326352008,-0.7001229897866782
Patrick Beverley,2022,0.34721093457929597,-0.750682674303419,-1.097893608882715
Danny Green,2022,-0.18209189066310677,-0.6525502486688157,-0.47045835800570895
Patty Mills,2022,-0.6415900682337833,0.0399124677330856,0.6815025359668689
Garrett Temple,2022,-2.235286194283761,-4.969056655920615,-2.733770461636854
Wesley Matthews,2022,-0.19301811708188396,-0.7243708981655463,-0.5313527810836624
John Wall,2022,-1.1290408738584088,-2.3617350432073128,-1.232694169348904
Derrick Favors,2022,-1.6239612324950663,-2.343528245605237,-0.7195670131101708
DeMarcus Cousins,2022,1.0242527851653325,3.53792201377635,2.5136692286110174
Gordon Hayward,2022,0.7976867403684483,0.1469594044734498,-0.6507273358949985
Paul George,2022,3.097756557606613,3.88335708265147,0.785600525044857
Eric Bledsoe,2022,-1.5142256455000744,-0.7920501716235746,0.7221754738764998
Avery Bradley,2022,-2.2070860961860266,-2.5575056151336213,-0.3504195189475947
Hassan Whiteside,2022,1.091446700006875,3.0818025630548425,1.9903558630479674
Nemanja Bjelica,2022,-0.5778397156530369,0.9125713825988724,1.4904110982519092
Lance Stephenson,2022,-0.7930770847023776,-1.1149821862310252,-0.3219051015286476
Ish Smith,2022,-0.25897263369985823,-2.925750230668526,-2.6667775969686676
Kyrie Irving,2022,1.9754594030383361,2.792697474835388,0.8172380717970518
Enes Kanter,2022,2.302055463332921,2.998315434978052,0.696259971645131
Tristan Thompson,2022,-0.6434846882448468,-0.7297606713431413,-0.08627598309829443
Jonas Valanciunas,2022,-0.6353452686390694,-1.251400966818216,-0.6160556981791466
Bismack Biyombo,2022,-2.6966307615707943,0.0850201971106327,2.781650958681427
Kemba Walker,2022,-1.0714996466399378,-2.6649369761640145,-1.5934373295240767
Klay Thompson,2022,-0.8321824852493104,-1.7437454047914434,-0.911562919542133
Alec Burks,2022,1.6142628922005415,1.120886839712103,-0.4933760524884385
Markieff Morris,2022,-0.2904130541034934,-1.3899141995667033,-1.09950114546321
Marcus Morris Sr.,2022,-2.1558605442739225,-1.798148427229934,0.35771211704398853
Kawhi Leonard,2022,4.069534764122774,3.726298576748917,-0.34323618737385697
Nikola Vucevic,2022,-1.3449873946800135,-1.638088138086617,-0.2931007434066035
Tobias Harris,2022,-0.564773660045294,-1.3478844828927825,-0.7831108228474886
