def_player_id,season,poss_vs_elite_scorers,pts_allowed_vs_elite,n_elite_scorers_guarded,avg_opp_orapm,pts_vs_expected_elite,pts_per_100_vs_elite_scorers,player_id,name
1713,2019,22.74,6,1,2.20634198420263,-0.858211177097963,26.385224274406333,1713,Vince Carter
2199,2018,135.41,46,3,3.754897409682493,-0.7989602400884904,33.97090318292593,2199,Tyson Chandler
2216,2018,50.34,19,2,3.4186960103681097,-0.7418479057892688,37.74334525228446,2216,Zach Randolph
2544,2018,71.49,17,2,1.6849920198399302,-0.8943688549789744,23.779549587354875,2544,LeBron James
2544,2020,67.41,10,2,1.6420239739994298,-0.9709458717982103,14.83459427384661,2544,LeBron James
2544,2022,179.9,34,5,2.7307645858222718,-0.928978839936576,18.899388549194,2544,LeBron James
2544,2023,162.8,34,3,2.969323537962002,-0.9337930804451472,20.88452088452088,2544,LeBron James
2544,2024,311.0,55,7,2.7161290936870697,-0.946734026242052,17.684887459807076,2544,LeBron James
2546,2020,42.14,9,1,2.72689713776394,-0.913437412614961,21.35738016136687,2546,Carmelo Anthony
2546,2021,22.95,8,1,2.1945194922854303,-0.7733613169272118,34.85838779956427,2546,Carmelo Anthony
2546,2022,41.6,8,1,3.0533212631586,-0.9382255203238938,19.23076923076923,2546,Carmelo Anthony
2548,2018,20.65,3,1,1.88969650293026,-0.9736185146661064,14.527845036319617,2548,Dwyane Wade
2594,2020,20.17,3,1,3.37630731749123,-0.9850273270172524,14.873574615765987,2594,Kyle Korver
2730,2018,27.01,10,1,4.78546105925527,-0.7776213636469772,37.023324694557566,2730,Dwight Howard
2730,2021,20.5,2,1,1.6128940507344,-1.0185679648975878,9.75609756097561,2730,Dwight Howard
2730,2022,268.1,61,6,3.33591960583822,-0.927016226232526,22.752704214845203,2730,Dwight Howard
2734,2018,22.12,4,1,3.4924416044663897,-0.9540925896432172,18.083182640144667,2734,Devin Harris
2738,2018,24.58,13,1,3.4924416044663897,-0.606039143465331,52.88852725793328,2738,Andre Iguodala
2738,2019,20.36,3,1,2.25553328452801,-0.9752075921773038,14.734774066797645,2738,Andre Iguodala
2747,2018,169.37,39,2,1.66391150624571,-0.871555580310503,23.0265100076755,2747,JR Smith
2772,2018,254.32,41,7,2.953119665455877,-0.9637517324814362,16.121421830764394,2772,Trevor Ariza
2772,2019,257.47,65,7,3.738210555386926,-0.895872621451062,25.2456596885074,2772,Trevor Ariza
