target_years,o_ppm_r2,o_ppm_corr,o_ppm_n,d_ppm_r2,d_ppm_corr,d_ppm_n
1yr,0.7709493078208548,0.8780645414690167,1372,0.7322007444913836,0.8558938813513811,4642
2yr,0.6432717861592518,0.8022027715653832,975,0.5465266511479068,0.7402365935049194,3616
3yr,0.5326890215612151,0.7314773210355405,642,0.4312978457877322,0.6578383522990264,2802
4yr,0.5179995269794293,0.7224118386146939,444,0.5116466931472896,0.7162418114798444,2216
5yr,0.657135115248754,0.8131924495239063,291,0.5277485058197902,0.7267477187439418,1791
6yr,0.7863150806241465,0.8899843896077623,161,0.5646228062082059,0.7517309805258378,1337
5_7yr,0.7484617472310444,0.8678614678431281,196,0.6333863627443026,0.7959569154847592,1519
