player_id,name,season,off_poss,def_poss,minutes,secondary_ast_per_100,rim_dfg,drive_rate,drive_fg_pct,dreb_contest_rate,potential_ast_per_100,adj_ast_per_100,drives,drive_points,touches,blocks,steals,o_rapm,d_rapm,total_rapm,games,my_o_rapm,my_d_rapm,my_total_rapm,o_pts_vs_exp_elite,o_poss_vs_elite,o_n_elite_faced,d_pts_vs_exp_elite,d_poss_vs_elite,d_n_elite_guarded,o_rapm_career_wt,d_rapm_career_wt,secondary_ast_per_100_career_wt,rim_dfg_career_wt,drive_rate_career_wt,drive_fg_pct_career_wt,dreb_contest_rate_career_wt,o_rapm_1yr,d_rapm_1yr,total_rapm_1yr,o_rapm_2yr,d_rapm_2yr,total_rapm_2yr,o_rapm_3yr,d_rapm_3yr,total_rapm_3yr,o_rapm_4yr,d_rapm_4yr,total_rapm_4yr,o_rapm_5yr,d_rapm_5yr,total_rapm_5yr,o_rapm_6yr,d_rapm_6yr,total_rapm_6yr,o_rapm_7yr,d_rapm_7yr,total_rapm_7yr,o_rapm_5_7yr,d_rapm_5_7yr,total_rapm_5_7yr
203944,Julius Randle,2024,3315,3293,1630.09,0.8748114630467572,0.647887323943662,0.19208870242732995,0.50187265917603,0.2090032154340836,12.428355957767723,7.993966817496228,641,378,3337,12,25,1.51125735173796,0.6183612395922999,0.89289611214566,69,49.53382531015064,60.99119097378104,-11.457365663630398,-0.8006443477378604,398.1,8.0,-0.8390209732325229,555.5,8.0,0.14770458126931177,0.3532948168203212,0.6051922207465786,0.6349389695852485,0.1481275265213235,0.4903990539338408,0.23636446102732034,,,,,,,,,,,,,,,,,,,,,,,,
1630541,Moses Moody,2024,2320,2290,1129.66,0.5603448275862069,0.6122448979591837,0.12167300380228137,0.4675324675324675,0.256,4.525862068965517,3.146551724137931,160,94,1315,23,42,-0.7931520692983499,0.57409186856712,-1.36724393786547,74,-115.1318326356616,-15.70786139100302,-99.42397124465857,-1.009376470878551,39.5,1.0,-0.9094835767109516,69.5,2.0,-0.6065691241364617,0.7104949021977341,0.6537167256652783,0.6211053918821438,0.1186380446860875,0.5352165803042781,0.2607495926127105,,,,,,,,,,,,,,,,,,,,,,,,
1641748,Andre Jackson Jr.,2024,1189,1187,572.38,0.5046257359125316,0.6481481481481481,0.0391566265060241,0.5714285714285714,0.20588235294117646,6.644238856181666,4.79394449116905,26,8,664,6,16,-1.08495080777506,2.896973393119,-3.98192420089406,63,-131.69530937023742,150.23377706733513,-281.92908643757255,,,,-1.042774476059256,39.7,1.0,-1.08495080777506,2.896973393119,0.5046257359125316,0.6481481481481481,0.0391566265060241,0.5714285714285714,0.20588235294117646,,,,,,,,,,,,,,,,,,,,,,,,
1631115,Orlando Robinson,2024,607,609,303.72,0.0,0.6,0.026748971193415638,0.625,0.2909090909090909,6.754530477759473,5.766062602965404,13,12,486,8,7,-0.1978303030387,0.68600066890859,-0.88383097194729,34,-171.83053889524808,-146.06552444159294,-25.76501445365514,,,,-0.8488237333199352,60.0,2.0,-0.14610831939594673,0.5742209951869507,0.03728958022586831,0.5936234817813766,0.019552131113084785,0.7419028340080972,0.29614110585770503,,,,,,,,,,,,,,,,,,,,,,,,
203967,Dario Saric,2024,2227,2221,1094.55,0.5388414907947913,0.645021645021645,0.06752554420257663,0.5,0.3446601941747573,11.450381679389313,7.364167040862146,152,92,2251,10,31,0.57078634356797,2.2487336329648397,-1.6779472893968697,15,-61.89636828123407,66.47777903642576,-128.37414731765983,-0.9842116816685016,65.4,2.0,-0.8892366574961883,65.9,2.0,0.888436831417099,0.6159685315989707,0.35971752993195044,0.6564803697970306,0.06605838915231653,0.4320870928973964,0.29580834262699435,,,,,,,,,,,,,,,,,,,,,,,,
1630532,Franz Wagner,2024,4697,4706,2337.44,0.44709388971684055,0.7062146892655368,0.20440784693630418,0.5362637362637362,0.16993464052287582,10.368320204385778,6.7064083457526085,844,622,4129,28,76,0.67725706074303,-2.7962215811726603,3.4734786419156904,60,212.0130119338564,-181.16051070140503,393.1735226352614,-0.9256553662731886,180.1,5.0,-0.8782063639613136,489.1,11.0,1.0426358130872273,-1.8794173579641524,0.4959997433336428,0.7023627625417516,0.2019797048911495,0.5063439667859795,0.17113236230883289,,,,,,,,,,,,,,,,,,,,,,,,
1629680,Matisse Thybulle,2024,2944,2956,1454.9,0.16983695652173914,0.7368421052631579,0.06359393232205368,0.525,0.15841584158415842,5.332880434782608,3.5665760869565215,109,57,1714,48,109,-2.09824582570285,-2.0589858311365403,-0.039259994566309686,15,-84.84632449006739,-98.27188697009136,13.42556248002397,,,,-0.9215993639969324,167.3,6.0,-1.0860036152545518,-2.0040654143200287,0.2936963578011084,0.7120601332693662,0.05820009157353591,0.36988077282194926,0.1730416675850741,,,,,,,,,,,,,,,,,,,,,,,,
203083,Andre Drummond,2024,2651,2655,1339.4,0.18860807242549982,0.6150234741784038,0.021393643031784843,0.5517241379310345,0.3221957040572792,1.923802338740098,1.735194266314598,35,32,1636,48,73,0.65501553022003,-0.24436805366682998,0.89938358388686,40,-202.0923550080432,-49.21020632859623,-152.88214867944697,-0.896096934813617,141.9,3.0,-0.895024578281942,146.7,4.0,0.026689468568552123,0.29636643548665453,0.2855121999119123,0.6020938307015192,0.02810862234857431,0.47715488554340235,0.3703411688297134,,,,,,,,,,,,,,,,,,,,,,,,
1630596,Evan Mobley,2024,3130,3127,1532.34,0.6070287539936102,0.5837988826815642,0.07982485685415965,0.4782608695652174,0.3391304347826087,8.753993610223642,5.942492012779553,237,134,2969,72,45,-2.79603142770386,-1.92261094959018,-0.8734204781136801,71,-14.35387759570769,-58.54704500350443,44.193167407796736,-0.915364354737793,198.0,5.0,-0.8874057789423754,386.3,8.0,-1.6508195245756503,-2.3795265228726667,0.5098462015078955,0.5824177082914674,0.06939747436278924,0.44343752793847313,0.330563532360897,,,,,,,,,,,,,,,,,,,,,,,,
1629640,Keldon Johnson,2024,4234,4251,2006.67,0.7321681624940954,0.748792270531401,0.16105200945626477,0.5,0.2209737827715356,8.384506376948513,5.668398677373642,545,375,3384,20,51,0.25050370589269,1.3550743490095198,-1.1045706431168298,77,-80.98352911827801,114.84614544354366,-195.82967456182166,-0.9531195849634642,94.7,4.0,-0.8895250908555142,297.7,11.0,-0.09362387532384883,1.262165550673061,0.5824333569915988,0.7167764436338482,0.17929378307805605,0.4851651922114459,0.2126131227364982,,,,,,,,,,,,,,,,,,,,,,,,
