model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
Ridge (lambda=150),0.630607894758058,0.016707851733759053,1.0472377377240651,0.030813066225855574
Lasso (lambda=1),0.15491848642799605,0.03208741736766217,1.5858418579654088,0.08644852613063024
ElasticNet,0.42745519855854325,0.013836342224456163,1.3049232298112006,0.057424686413741925
Gradient Boosting,0.5900051185697188,0.034540862012012896,1.1020560409145144,0.035118752551094694
Random Forest,0.6076574395962642,0.027131874174278467,1.0785083351773705,0.029620351743411384
