feature_removed,r2,r2_change
None (baseline),0.5900051185697188,0.0
o_rapm,0.25605995684089217,-0.33394516172882666
d_rapm,0.31547337744526155,-0.2745317411244573
possessions,0.5863146440085679,-0.0036904745611509027
