name,age,o_rapm,d_rapm,total_rapm,games,off_poss
Joel Embiid,30.63107460643395,3.5688150833907097,-3.00333641677086,6.57215150016157,19,2718
Paul George,34.502395619438744,3.84418546838374,-2.41041282707396,6.254598295457701,41,4937
Kyrie Irving,32.610540725530456,5.3393898729381,-0.50494210802383,5.84433198096193,50,4113
Jrue Holiday,34.390143737166326,3.94232848318328,-1.29709660800172,5.239425091185,62,4505
Kawhi Leonard,33.34428473648186,3.14830635361612,-2.08840159875415,5.23670795237027,37,4611
Draymond Green,34.66392881587954,0.56038598119551,-4.34680450466282,4.9071904858583295,68,3076
Kevin Durant,36.09034907597536,3.78693536539854,-1.03363023409256,4.8205655994911005,62,5654
Stephen Curry,36.63518138261465,4.33332331446573,-0.46681077194054,4.80013408640627,70,5077
LeBron James,39.83846680355921,3.85547525884861,-0.708066457187,4.56354171603561,70,5188
Derrick White,30.33538672142368,1.6265363425340102,-2.72629223417802,4.35282857671203,76,4792
Delon Wright,32.51745379876797,1.57790706253247,-2.51297948565994,4.09088654819241,25,1514
Delon Wright,32.51745379876797,1.57790706253247,-2.51297948565994,4.09088654819241,10,1514
Delon Wright,32.51745379876797,1.57790706253247,-2.51297948565994,4.09088654819241,25,1514
Delon Wright,32.51745379876797,1.57790706253247,-2.51297948565994,4.09088654819241,10,1514
Damian Lillard,34.299794661190965,5.0038841182055,1.02783838754695,3.9760457306585497,58,5423
Bogdan Bogdanovic,32.205338809034906,3.4312857631187703,-0.26179011808906,3.69307588120783,30,4969
Bogdan Bogdanovic,32.205338809034906,3.4312857631187703,-0.26179011808906,3.69307588120783,30,4969
Bogdan Bogdanovic,32.205338809034906,3.4312857631187703,-0.26179011808906,3.69307588120783,24,4969
Bogdan Bogdanovic,32.205338809034906,3.4312857631187703,-0.26179011808906,3.69307588120783,24,4969
Gary Payton II,31.91786447638604,2.10429473960006,-1.41414763500528,3.51844237460534,62,1398
Jimmy Butler,35.13210130047912,3.05312833478694,-0.37085192921192,3.42398026399886,30,4068
Jimmy Butler,35.13210130047912,3.05312833478694,-0.37085192921192,3.42398026399886,25,4068
Jimmy Butler,35.13210130047912,3.05312833478694,-0.37085192921192,3.42398026399886,30,4068
Jimmy Butler,35.13210130047912,3.05312833478694,-0.37085192921192,3.42398026399886,25,4068
Fred VanVleet,30.68309377138946,1.83412266889788,-1.45847543376047,3.29259810265835,60,5466
Anthony Davis,31.644079397672822,-0.16978787758518,-3.12276811402183,2.95298023643665,9,5667
Anthony Davis,31.644079397672822,-0.16978787758518,-3.12276811402183,2.95298023643665,42,5667
Anthony Davis,31.644079397672822,-0.16978787758518,-3.12276811402183,2.95298023643665,42,5667
Anthony Davis,31.644079397672822,-0.16978787758518,-3.12276811402183,2.95298023643665,9,5667
Pascal Siakam,30.584531143052704,3.0824633802297297,0.47934275567254,2.6031206245571896,78,5509
Clint Capela,30.458590006844627,1.58565913347252,-1.01081906490849,2.5964781983810097,55,3919
Javonte Green,31.277207392197127,2.09001557278214,-0.45775820377308,2.54777377655522,50,463
Javonte Green,31.277207392197127,2.09001557278214,-0.45775820377308,2.54777377655522,16,463
Javonte Green,31.277207392197127,2.09001557278214,-0.45775820377308,2.54777377655522,50,463
Javonte Green,31.277207392197127,2.09001557278214,-0.45775820377308,2.54777377655522,16,463
Chris Paul,39.49075975359343,0.2887855141998799,-2.15908133644311,2.4478668506429897,82,3044
Rudy Gobert,32.35044490075291,-0.38039727452978,-2.82320369622095,2.44280642169117,72,5121
Alex Caruso,30.67488021902806,-1.44467843621973,-3.79916867503091,2.35449023881118,54,4033
Al Horford,38.41478439425051,1.0797309859865,-1.00093004459166,2.08066103057816,60,3439
DeMar DeRozan,35.23613963039014,2.49317521225582,0.4466844955440099,2.04649071671181,77,5890
Chris Boucher,31.805612594113622,0.65866069823659,-1.38367622423011,2.0423369224667,50,1350
Joe Ingles,37.08418891170431,1.61089292166379,-0.2649355742661199,1.8758284959299096,18,2345
Larry Nance Jr.,31.83299110198494,0.24356436418304,-1.32062884192004,1.56419320610308,24,2450
Marcus Smart,30.65845311430527,0.59398333754358,-0.8000355039627199,1.3940188415063,19,1268
Marcus Smart,30.65845311430527,0.59398333754358,-0.8000355039627199,1.3940188415063,15,1268
Marcus Smart,30.65845311430527,0.59398333754358,-0.8000355039627199,1.3940188415063,15,1268
Marcus Smart,30.65845311430527,0.59398333754358,-0.8000355039627199,1.3940188415063,19,1268
Mike Conley,37.059548254620125,1.28601694802239,0.01911031663513,1.26690663138726,71,4365
Khris Middleton,33.223819301848046,1.55808871196884,0.42353043582915,1.13455827613969,14,3109
Khris Middleton,33.223819301848046,1.55808871196884,0.42353043582915,1.13455827613969,23,3109
