off_player_id,season,poss_vs_elite_defenders,pts_scored_vs_elite,n_elite_defenders_faced,avg_opp_drapm,pts_vs_expected_elite,pts_per_100_vs_elite_defenders,player_id,name
1717,2018,46.11,11,2,-1.6944768483394248,-0.8787772749827365,23.85599653003687,1717,Dirk Nowitzki
2199,2018,47.870000000000005,2,2,-3.4847816339287303,-1.0954000845838634,4.1779820346772505,2199,Tyson Chandler
2200,2018,29.38,8,1,-4.504121422275071,-0.8727471366189388,27.22940776038121,2200,Pau Gasol
2216,2018,65.65,30,3,-1.936516148362773,-0.6615641207255599,45.69687738004569,2216,Zach Randolph
2544,2018,303.68,99,6,-2.997257077837307,-0.795205656511325,32.60010537407798,2544,LeBron James
2544,2019,94.52,32,3,-3.07158813053336,-0.7893772756804137,33.85526872619551,2544,LeBron James
2544,2020,124.42,46,3,-2.253180467029249,-0.7557813022114175,36.97154798263945,2544,LeBron James
2544,2022,82.6,24,3,-2.058438472164737,-0.8279243486434456,29.05569007263923,2544,LeBron James
2544,2023,300.5,64,5,-1.9097679572053663,-0.9016793161909288,21.29783693843594,2544,LeBron James
2544,2024,447.9,110,6,-2.20336359271337,-0.8762737488865199,24.559053360125027,2544,LeBron James
2546,2018,122.32,33,3,-2.565608740881606,-0.8536935711649022,26.978417266187048,2546,Carmelo Anthony
2546,2020,22.61,0,1,-4.81344976048199,-1.14813449760482,0.0,2546,Carmelo Anthony
2546,2021,23.6,4,1,-1.8954292135424904,-0.9494627667116962,16.94915254237288,2546,Carmelo Anthony
2546,2022,63.7,8,2,-1.8096751887378304,-1.014469808882197,12.558869701726843,2546,Carmelo Anthony
2617,2020,20.56,3,1,-1.50862331932705,-0.9691718363061108,14.591439688715957,2617,Udonis Haslem
2730,2018,117.2,27,3,-2.418682072983708,-0.8880959822820031,23.03754266211604,2730,Dwight Howard
2730,2022,91.1,28,2,-3.9687111461547233,-0.8675367890301477,30.735455543358945,2730,Dwight Howard
2747,2018,113.16,28,1,-3.18132415414972,-0.9156917945669468,24.743725698126543,2747,JR Smith
2772,2019,74.95,13,2,-2.1216214042048867,-0.9405837466669944,17.34489659773182,2772,Trevor Ariza
2772,2020,24.07,0,1,-1.8207908415996,-1.1182079084159962,0.0,2772,Trevor Ariza
2772,2021,43.49,2,2,-1.9601422912230348,-1.0721180420955163,4.598758335249483,2772,Trevor Ariza
101107,2019,86.47999999999999,10,1,-3.5178105198767,-1.026325058798731,11.563367252543944,101107,Marvin Williams
101108,2019,21.48,2,1,-2.47819524732208,-1.0316720828270385,9.31098696461825,101108,Chris Paul
101108,2020,20.93,0,1,-1.99688413754131,-1.1199688413754132,0.0,101108,Chris Paul
101108,2022,45.0,6,1,-3.1816622080474297,-0.9984832887471412,13.333333333333334,101108,Chris Paul
101108,2023,147.1,20,4,-2.56539940504995,-0.9877114836525474,13.596193065941536,101108,Chris Paul
101108,2024,24.4,5,1,-2.75836737464981,-0.9226656409596128,20.49180327868853,101108,Chris Paul
101127,2018,45.11,10,2,-2.027747500680835,-0.919796320235357,22.168033695411214,101127,Jarrett Jack
101133,2019,20.91,0,1,-4.09468818725994,-1.1409468818725994,0.0,101133,Ian Mahinmi
101133,2020,29.94,7,1,-2.47200149790156,-0.890919079775275,23.38009352037408,101133,Ian Mahinmi
101141,2018,92.23,16,2,-2.0525477480293,-0.945955012789544,17.34793451154722,101141,Ersan Ilyasova
101150,2018,47.42,15,2,-2.005126768145655,-0.8118257942639444,31.632222690847744,101150,Lou Williams
101162,2019,20.51,2,1,-4.09468818725994,-1.0434334737789863,9.751340809361286,101162,Marcin Gortat
101181,2018,21.28,6,1,-1.8870762733835496,-0.8369158755157906,28.195488721804512,101181,Jose Calderon
200746,2018,172.68,74,3,-2.516082329045087,-0.6980832228468624,42.853833680796846,200746,LaMarcus Aldridge
200746,2019,226.03,91,4,-3.501568663327184,-0.7135246782408193,40.260142458965625,200746,LaMarcus Aldridge
200746,2020,124.23,53,3,-1.8509128559783696,-0.6713057271366579,42.66280286565242,200746,LaMarcus Aldridge
200746,2021,27.2,11,1,-1.6155252803055,-0.7117434880971728,40.44117647058824,200746,LaMarcus Aldridge
200746,2022,63.900000000000006,14,2,-2.23088224638672,-0.9008903326967536,21.909233176838807,200746,LaMarcus Aldridge
200752,2019,24.73,8,1,-2.7311160810557,-0.8038174285016205,32.349373230893654,200752,Rudy Gay
200755,2018,26.18,13,1,-3.18132415414972,-0.6352509802733536,49.65622612681436,200755,JJ Redick
200755,2019,41.13,12,2,-2.41099519761655,-0.8348501373181589,29.17578409919767,200755,JJ Redick
200765,2018,45.510000000000005,15,1,-1.62605514280048,-0.8091652749035199,32.95978905735003,200765,Rajon Rondo
200768,2018,50.99,2,2,-1.756565708092015,-1.0810959269569231,3.922337713277113,200768,Kyle Lowry
200768,2019,51.34,14,1,-4.57591929415773,-0.8730673347413436,27.26918582002337,200768,Kyle Lowry
200768,2020,28.45,0,1,-2.3563537498318,-1.1235635374983182,0.0,200768,Kyle Lowry
200768,2021,20.15,2,1,-2.1795545567871897,-1.0225399624413212,9.925558312655088,200768,Kyle Lowry
200768,2022,93.4,21,3,-2.8390124682735074,-0.9083459252893492,22.48394004282655,200768,Kyle Lowry
200768,2023,158.3,25,4,-2.8875645962318632,-0.9642472890164728,15.792798483891342,200768,Kyle Lowry
200768,2024,20.1,2,1,-3.59587493595639,-1.036456261797375,9.950248756218905,200768,Kyle Lowry
200782,2019,68.68,6,2,-3.646268458522293,-1.051128282280786,8.7361677344205,200782,P.J. Tucker
