player_id,name,season,off_poss,touches,drive_rate,drive_fg_pct,dreb_contest_rate,rim_dfg
1890,Shawn Marion,2014,4682,3687,0.03308923243829672,0.2857142857142857,0.2737430167597765,0.6244131455399061
101127,Jarrett Jack,2014,4319,4567,0.10335012042916575,0.4948453608247423,0.12935323383084577,0.6293103448275862
203133,Robbie Hummel,2014,1315,928,0.02478448275862069,0.3076923076923077,0.3020833333333333,0.6818181818181818
101139,CJ Miles,2014,1911,1249,0.08086469175340272,0.41379310344827586,0.2441860465116279,0.7291666666666666
202337,Luke Babbitt,2014,889,724,0.11049723756906077,0.42857142857142855,0.3142857142857143,0.6779661016949152
201578,Marreese Speights,2014,1954,1338,0.04110612855007474,0.5454545454545454,0.37967914438502676,0.5942028985507246
202380,Hamady Ndiaye,2014,146,71,0.0,,0.38461538461538464,0.6666666666666666
101181,Jose Calderon,2014,4837,6127,0.05075893585767913,0.46875,0.16766467065868262,0.7590361445783133
203110,Draymond Green,2014,3549,2955,0.047377326565143825,0.29310344827586204,0.4171974522292994,0.5789473684210527
101107,Marvin Williams,2014,3171,2477,0.05692369802180056,0.34328358208955223,0.3253012048192771,0.6373626373626373
202730,Lavoy Allen,2014,2199,2050,0.00975609756097561,0.625,0.42021276595744683,0.6289308176100629
2755,Kevin Martin,2014,4496,3183,0.0860823122840088,0.3333333333333333,0.13529411764705881,0.7619047619047619
201600,Omer Asik,2014,1974,1445,0.004152249134948097,0.0,0.4781021897810219,0.5054347826086957
101183,Shavlik Randolph,2014,182,114,0.017543859649122806,0.5,0.4117647058823529,0.5714285714285714
200765,Rajon Rondo,2014,1954,2759,0.16056542225444,0.43410852713178294,0.13194444444444445,0.8076923076923077
202696,Nikola Vucevic,2014,3542,3571,0.008961075329039486,0.375,0.3538812785388128,0.6239669421487604
201935,James Harden,2014,5598,5264,0.1458966565349544,0.4448669201520912,0.2202797202797203,0.656441717791411
201149,Joakim Noah,2014,5263,6615,0.04051398337112623,0.3795620437956204,0.3919354838709677,0.5208333333333334
201228,C.J. Watson,2014,2337,2485,0.055130784708249496,0.35555555555555557,0.15476190476190477,0.6590909090909091
203500,Steven Adams,2014,2353,1507,0.0019907100199071004,1.0,0.4473684210526316,0.5812807881773399
203545,Miroslav Raduljica,2014,894,662,0.006042296072507553,0.5,0.4727272727272727,0.4342105263157895
201565,Derrick Rose,2014,605,845,0.12781065088757396,0.3620689655172414,0.09090909090909091,0.6153846153846154
203147,Chris Smith,2014,6,3,0.0,,,0.0
201175,Glen Davis,2014,3205,2534,0.03196527229676401,0.3181818181818182,0.44398340248962653,0.5869565217391305
202720,Jon Leuer,2014,1219,1139,0.05794556628621598,0.47058823529411764,0.3277310924369748,0.6086956521739131
203484,Kentavious Caldwell-Pope,2014,3136,1811,0.03368304803975704,0.4090909090909091,0.17796610169491525,0.7126436781609196
203183,Tony Mitchell,2014,18,11,0.0,,,0.0
202709,Cory Joseph,2014,1844,1946,0.10380267214799589,0.46835443037974683,0.2631578947368421,0.6774193548387096
203090,Maurice Harkless,2014,3790,2066,0.10551790900290416,0.3125,0.22448979591836735,0.7
2756,Sasha Vujacic,2014,22,29,0.06896551724137931,0.0,0.0,1.0
202331,Paul George,2014,5561,5462,0.11131453679970707,0.44656488549618323,0.18816067653276955,0.5666666666666667
201143,Al Horford,2014,1900,1826,0.023548740416210297,0.55,0.4269005847953216,0.496
203477,Isaiah Canaan,2014,534,530,0.1,0.4444444444444444,0.11764705882352941,0.8181818181818182
202687,Bismack Biyombo,2014,2006,712,0.016853932584269662,0.5,0.4163424124513619,0.40414507772020725
2457,Jannero Pargo,2014,470,642,0.06386292834890965,0.4,0.10526315789473684,0.6666666666666666
200777,Joel Freeland,2014,1417,856,0.010514018691588784,0.3333333333333333,0.3884297520661157,0.5255474452554745
2400,Drew Gooden,2014,708,669,0.04185351270553064,0.42857142857142855,0.34285714285714286,0.6440677966101694
200797,Ryan Hollins,2014,950,519,0.0019267822736030828,1.0,0.4098360655737705,0.4810126582278481
101187,Alan Anderson,2014,3297,2060,0.11310679611650486,0.46,0.24427480916030533,0.6727272727272727
203501,Tim Hardaway Jr.,2014,3605,2242,0.06422836752899197,0.43820224719101125,0.24,0.6744186046511628
202713,Kyle Singler,2014,4615,2864,0.052374301675977654,0.4594594594594595,0.3526315789473684,0.6085271317829457
101109,Raymond Felton,2014,3801,4648,0.11101549053356283,0.3867403314917127,0.20422535211267606,0.6643835616438356
201858,Cartier Martin,2014,1695,1084,0.04151291512915129,0.19047619047619047,0.23157894736842105,0.7049180327868853
2548,Dwyane Wade,2014,3418,3229,0.16011148962527097,0.5255102040816326,0.21348314606741572,0.6633663366336634
201962,Toney Douglas,2014,1284,1265,0.0782608695652174,0.2962962962962963,0.11428571428571428,0.7857142857142857
201945,Gerald Henderson,2014,4626,4091,0.09166462967489611,0.4304635761589404,0.2,0.6236559139784946
101115,Andrew Bynum,2014,1003,678,0.0058997050147492625,0.3333333333333333,0.5,0.5223880597014925
202702,Kenneth Faried,2014,4440,3307,0.03265799818566677,0.40625,0.3761261261261261,0.57
202335,Patrick Patterson,2014,2879,2518,0.021048451151707705,0.41379310344827586,0.42201834862385323,0.595
201609,Goran Dragic,2014,5302,5945,0.18486122792262405,0.4960212201591512,0.1348314606741573,0.6333333333333333
203527,Ryan Kelly,2014,2729,2175,0.05839080459770115,0.43283582089552236,0.34269662921348315,0.6875
203145,Kent Bazemore,2014,1908,1516,0.1299472295514512,0.4482758620689655,0.205607476635514,0.625
